Date,High,Low,Open,Close,Volume,Adj Close,close_sma_ratio,upper_bb,lower_bb,percent_b,norm_adj_close,norm_close_sma_ratio,norm_close_sma_ratio_state,percent_b_state,cash,cash_state,shares,shares_state,state
2017-05-02,86.87999725341797,86.0199966430664,86.70999908447266,86.5,14414200.0,78.23858642578125,0.99061,80.30919,77.65137,22.09391252158723,1.015294431670483,0.993301848008102,2,1,75422.05078125,3,320,9,2139
2017-05-03,87.0999984741211,86.0199966430664,86.05999755859375,87.0,11540500.0,78.69084167480469,0.99961,79.43375,78.00943,47.84119262558193,1.0211633035021952,1.0023263042846113,3,2,76986.82250976562,3,300,9,3239
2017-05-04,87.7300033569336,86.56999969482422,87.69000244140625,87.0999984741211,11540100.0,78.78128814697266,1.00193,79.0729,78.18577,67.12862229579112,1.0223370184649967,1.0046526085692227,4,2,76986.82250976562,3,300,9,4239
2017-05-05,87.33999633789062,86.41999816894531,87.25,87.0,9436000.0,78.69084167480469,1.00078,79.0729,78.18577,56.93322002465061,1.0211633035021952,1.0034994836005575,4,2,76986.82250976562,3,300,9,4239
2017-05-08,87.31999969482422,86.6500015258789,87.04000091552734,87.0999984741211,8162200.0,78.78128814697266,1.00184,79.09063,78.18251,65.93601583190058,1.0223370184649967,1.0045623640064576,4,2,76986.82250976562,3,300,9,4239
2017-05-09,87.83999633789062,86.5,87.26000213623047,86.75,10273900.0,78.46471405029297,0.99724,78.9408,78.42279,8.093289761387497,1.0182288675863391,0.9999498641317972,3,1,76986.82250976562,3,300,9,3139
2017-05-10,87.4800033569336,86.47000122070312,86.52999877929688,87.43000030517578,8334900.0,79.07977294921875,1.00407,79.20132,78.31784,86.24224082251476,1.0262104263510938,1.0067984237283036,4,3,78556.11679077148,3,280,9,4339
2017-05-11,87.4800033569336,86.3499984741211,87.08999633789062,87.16000366210938,10907400.0,78.83555603027344,1.00083,79.21748,78.32339,57.283498336122655,1.0230412474426775,1.0035496194687605,4,2,76974.52133178711,3,300,9,4239
2017-05-12,87.05000305175781,86.33999633789062,86.68000030517578,86.91999816894531,8738800.0,78.61848449707031,0.99825,79.22024,78.29168,35.194763620047326,1.020224331531954,1.0009626086694943,3,2,76974.52133178711,3,300,9,3239
2017-05-15,87.48999786376953,86.86000061035156,87.0999984741211,87.33999633789062,8835600.0,78.99835968017578,1.00253,79.31343,78.28533,69.35411732086207,1.0251539343757203,1.0052542389876564,4,2,76974.52133178711,3,300,9,4239
2017-05-16,88.08999633789062,87.33999633789062,87.36000061035156,87.61000061035156,9795000.0,79.24258422851562,1.00364,79.43209,78.47781,80.14149185937274,1.028323212290038,1.0063672552617595,4,3,76974.52133178711,3,300,9,4339
2017-05-17,87.61000061035156,83.97000122070312,87.61000061035156,84.2699966430664,24679700.0,76.22154998779297,0.97242,80.84292,75.9237,6.054821451225428,0.9891195484380433,0.9750624191559125,0,1,75389.6696472168,3,320,9,0139
2017-05-18,84.80000305175781,83.36000061035156,84.06999969482422,83.95999908447266,23350100.0,75.94119262695312,0.97605,80.98777,74.6211,20.73442831108141,0.9854813785740141,0.9787022831874379,0,1,73865.23864746094,3,340,9,0139
2017-05-19,85.33999633789062,84.1500015258789,84.20999908447266,84.77999877929688,13412900.0,76.682861328125,0.99051,80.57635,74.25827,38.375445200519785,0.9951059402748879,0.9932015762716963,2,2,72346.41479492188,3,360,9,2239
2017-05-22,85.29000091552734,84.20999908447266,85.18000030517578,84.69999694824219,11636000.0,76.61050415039062,0.99572,79.58367,74.29581,43.773741180565,0.9941669683046467,0.9984257337384312,2,2,72346.41479492188,3,360,9,2239
